date,temperature,rainfall,humidity
1993-01-01,14.75,1.0,56.9
1993-01-02,13.79,2.43,73.3
1993-01-03,14.98,0.53,59.6
1993-01-04,16.3,0.15,66.5
1993-01-05,13.67,1.1,66.7
1993-01-06,13.68,1.13,52.7
1993-01-07,16.41,2.39,61.3
1993-01-08,15.21,5.18,67.4
1993-01-09,13.37,0.09,76.4
1993-01-10,14.91,1.34,67.7
1993-01-11,13.42,1.72,60.9
1993-01-12,13.45,6.38,70.1
1993-01-13,14.53,4.29,60.9
1993-01-14,11.33,1.87,57.7
1993-01-15,11.64,1.11,67.1
1993-01-16,13.42,0.26,56.6
1993-01-17,12.78,0.73,61.1
1993-01-18,14.81,1.32,71.8
1993-01-19,13.02,1.94,68.1
1993-01-20,12.31,1.51,60.5
1993-01-21,16.67,1.88,65.8
1993-01-22,14.18,0.84,64.8
1993-01-23,14.67,1.95,70.1
1993-01-24,12.48,0.23,67.7
1993-01-25,13.86,0.27,66.8
1993-01-26,14.9,0.27,66.1
1993-01-27,13.06,3.32,61.0
1993-01-28,15.41,0.12,73.6
1993-01-29,14.01,2.43,69.0
1993-01-30,14.54,0.4,65.5
1993-01-31,14.14,0.95,66.1
1993-02-01,17.89,3.71,67.1
1993-02-02,15.17,1.32,63.7
1993-02-03,13.67,0.35,65.2
1993-02-04,16.57,0.5,73.2
1993-02-05,13.58,3.8,60.7
1993-02-06,15.8,0.84,78.0
1993-02-07,12.63,1.33,68.9
1993-02-08,13.66,0.92,65.2
1993-02-09,16.03,0.71,67.6
1993-02-10,16.93,0.38,71.6
1993-02-11,16.17,1.74,67.3
1993-02-12,15.83,1.9,73.2
1993-02-13,15.65,0.48,64.8
1993-02-14,13.97,2.33,66.3
1993-02-15,15.21,2.89,71.7
1993-02-16,15.69,3.8,67.6
1993-02-17,18.07,0.26,80.7
1993-02-18,17.1,0.54,75.2
1993-02-19,14.04,2.95,73.8
1993-02-20,17.28,0.33,71.9
1993-02-21,16.32,0.01,69.8
1993-02-22,15.99,3.07,70.4
1993-02-23,18.03,0.59,67.7
1993-02-24,18.77,0.8,73.1
1993-02-25,18.73,0.89,65.9
1993-02-26,16.18,2.83,79.6
1993-02-27,17.09,0.62,72.8
1993-02-28,18.17,3.34,79.5
1993-03-01,19.25,1.44,77.2
1993-03-02,17.19,1.12,72.5
1993-03-03,17.75,0.59,75.2
1993-03-04,16.49,0.42,71.0
1993-03-05,16.47,1.47,72.8
1993-03-06,19.61,0.89,69.5
1993-03-07,20.55,3.62,81.8
1993-03-08,18.53,1.01,74.5
1993-03-09,20.27,1.08,77.9
1993-03-10,19.43,0.81,71.6
1993-03-11,18.05,2.34,81.8
1993-03-12,19.69,0.83,70.4
1993-03-13,21.58,0.47,73.5
1993-03-14,19.35,2.97,71.8
1993-03-15,21.88,1.36,75.6
1993-03-16,15.74,1.34,70.9
1993-03-17,21.03,1.42,77.4
1993-03-18,20.06,1.9,75.8
1993-03-19,19.62,0.56,73.8
1993-03-20,20.34,0.05,69.3
1993-03-21,17.35,2.5,74.3
1993-03-22,20.14,0.21,74.2
1993-03-23,21.14,1.92,79.2
1993-03-24,22.96,0.13,73.4
1993-03-25,20.1,0.71,70.0
1993-03-26,19.8,0.1,66.0
1993-03-27,20.4,1.11,80.7
1993-03-28,22.66,1.59,74.0
1993-03-29,21.92,0.28,76.6
1993-03-30,20.77,0.7,72.4
1993-03-31,22.47,3.99,72.0
1993-04-01,21.98,0.88,74.5
1993-04-02,23.43,2.43,70.8
1993-04-03,21.06,3.93,73.2
1993-04-04,21.76,5.49,78.6
1993-04-05,21.8,3.43,78.5
1993-04-06,20.33,0.57,72.5
1993-04-07,23.11,4.93,73.8
1993-04-08,23.19,2.51,65.3
1993-04-09,22.94,2.72,66.5
1993-04-10,22.72,0.02,72.3
1993-04-11,21.09,4.63,75.0
1993-04-12,22.71,2.26,68.4
1993-04-13,22.97,2.19,78.3
1993-04-14,22.41,0.13,79.0
1993-04-15,23.51,0.4,70.4
1993-04-16,24.49,4.92,70.1
1993-04-17,26.85,1.04,76.6
1993-04-18,24.41,0.76,82.8
1993-04-19,24.67,2.75,72.3
